brisque_rtp-ml,brisque_gt,timestamp,file,dataset
47.04,42.25522,1717509173,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.99,39.7713,1717509174,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.16,39.6608,1717509175,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.76,40.93286,1717509176,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.55,40.656,1717509177,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.89,39.84611,1717509178,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.71,39.73903,1717509179,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.78,39.86525,1717509180,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.58,40.11535,1717509181,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.29,39.73616,1717509182,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.03,40.3318,1717509183,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
42.79,40.52068,1717509184,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
43.21,41.47801,1717509185,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.5,42.47924,1717509186,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.94,44.64113,1717509187,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
54.22,80.83811,1717509189,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
55.87,81.64505,1717509190,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.19,81.15088,1717509191,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.86,80.9682,1717509192,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.95,78.77698,1717509193,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.47,78.11208,1717509194,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.14,78.18008,1717509195,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.36,77.89402,1717509196,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.15,77.8187,1717509197,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.75,79.41022,1717509198,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.18,72.40767,1717509199,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.32,71.28016,1717509200,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.98,70.32483,1717509201,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
70.71,70.083,1717509202,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
68.97,70.28031,1717509203,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.92,70.10598,1717509204,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
72.09,70.60032,1717509205,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
58.4,70.15798,1717509206,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
53.39,70.01238,1717509207,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
63.58,47.05052,1717509208,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.97,46.41828,1717509209,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
57.28,46.09825,1717509210,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.5,46.7217,1717509211,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.54,48.52321,1717509212,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.96,46.16784,1717509213,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.91,49.05543,1717509214,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.56,48.34393,1717509215,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.14,46.25963,1717509216,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.4,43.85456,1717509217,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.05,43.82611,1717509218,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.54,42.33621,1717509219,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.96,41.84652,1717509220,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.86,41.22339,1717509221,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.88,40.17754,1717509222,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.38,39.54181,1717509223,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.79,39.08545,1717509224,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.67,38.6204,1717509225,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.84,39.33313,1717509226,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.43,39.19574,1717509227,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.69,38.84392,1717509228,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.37,43.15739,1717509229,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.67,41.66583,1717509230,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.16,41.44617,1717509231,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.35,41.79034,1717509232,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
72.58,41.78339,1717509233,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.94,80.09285,1717509234,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
68.8,78.77706,1717509235,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.16,78.976,1717509236,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.81,78.1984,1717509237,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.86,78.89411,1717509238,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.05,78.04695,1717509239,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.3,77.89758,1717509240,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.62,78.07071,1717509242,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.49,77.15278,1717509243,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.41,76.9404,1717509244,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.81,78.50388,1717509245,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
72.37,77.04017,1717509246,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.41,73.50346,1717509247,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
71.12,72.6012,1717509248,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.75,71.8647,1717509249,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.28,71.98333,1717509250,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
67.17,72.20483,1717509251,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.39,71.94377,1717509252,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.99,71.94342,1717509253,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
52.44,71.39949,1717509254,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.44,47.32691,1717509255,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.85,47.8351,1717509256,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.65,47.06432,1717509257,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
57.52,46.89511,1717509258,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.01,47.56371,1717509259,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.42,47.2182,1717509260,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.53,47.62741,1717509261,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.55,49.37601,1717509262,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.07,49.58871,1717509263,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.66,48.17429,1717509264,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.17,48.10362,1717509265,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.65,49.89144,1717509266,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.97,46.29864,1717509267,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.25,47.93983,1717509268,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.29,48.64281,1717509269,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.41,49.64683,1717509270,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.81,46.04975,1717509271,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.18,44.45548,1717509272,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.6,49.57763,1717509273,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.6,48.1553,1717509274,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.2,48.1532,1717509275,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.6,49.55206,1717509277,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.93,48.96347,1717509278,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.39,49.11174,1717509279,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
59.7,49.13465,1717509280,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.02,81.49416,1717509281,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.32,80.8133,1717509282,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.4,80.63425,1717509283,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.24,79.70891,1717509284,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.47,80.97874,1717509285,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.17,79.86753,1717509286,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.59,80.06896,1717509287,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
71.69,82.20667,1717509288,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.91,79.81132,1717509289,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.35,79.34401,1717509290,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.12,79.09184,1717509291,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.12,80.15318,1717509292,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
